BME680_temperature_b,BME680_humidity_b,BME680_pressure_b,BME680_gas_b,BME680_temperature_f,BME680_humidity_f,BME680_pressure_f,BME680_gas_f,DHT21_temperature,DHT21_humidity,DHT22_temperature,DHT22_humidity,moisture_right,moisture_left,temperature_soil,temperature_water,light,level,door,timestamp
15.85,77.7,1007.12,62.91,14.64,80.53,1006.74,5.24,6.9,44.6,0,0,99.99,99.99,11.69,18.37,0,0,0,"""2023-05-02T22:51:57.000Z"""
15.82,77.67,1007.13,63.34,14.61,80.63,1006.77,5.25,6.8,44.7,0,0,99.99,99.99,11.69,18.31,0,0,0,"""2023-05-02T22:56:57.000Z"""
15.79,77.83,1007.15,62.77,14.55,80.86,1006.8,5.24,6.8,44.7,0,0,99.99,99.99,11.69,18.25,0,0,0,"""2023-05-02T23:01:57.000Z"""
15.81,77.51,1007.17,63.29,14.52,80.9,1006.81,5.24,6.8,44.8,0,0,99.99,99.99,11.69,18.25,0,0,0,"""2023-05-02T23:06:58.000Z"""
15.89,77.17,1007.19,63.34,14.51,80.96,1006.82,5.23,6.8,44.7,0,0,99.99,99.99,11.63,18.25,0,0,0,"""2023-05-02T23:11:58.000Z"""
15.7,77.9,1007.19,62.07,14.51,80.97,1006.85,5.23,6.8,44.8,0,0,99.99,99.99,11.56,18.19,0,0,0,"""2023-05-02T23:16:58.000Z"""
15.68,78.03,1007.2,61.84,14.47,81.14,1006.84,5.22,6.8,44.8,0,0,99.99,99.99,11.56,18.19,0,0,0,"""2023-05-02T23:21:58.000Z"""
15.71,77.93,1007.18,62.21,14.44,81.11,1006.82,5.22,6.7,44.8,0,0,99.99,99.99,11.56,18.12,0,0,0,"""2023-05-02T23:26:58.000Z"""
15.7,77.87,1007.16,62.39,14.44,81.21,1006.81,5.21,6.7,45,0,0,99.99,99.99,11.56,18.19,0,0,0,"""2023-05-02T23:31:58.000Z"""
15.63,78.1,1007.15,61.74,14.43,81.18,1006.79,5.21,6.7,44.9,0,0,99.99,99.99,11.56,18.12,0,0,0,"""2023-05-02T23:36:59.000Z"""
15.71,77.7,1007.11,61.93,14.38,81.38,1006.74,5.2,6.7,44.9,0,0,99.99,99.99,11.5,18.12,0,0,0,"""2023-05-02T23:41:59.000Z"""
15.53,78.69,1007.13,61.2,14.36,81.34,1006.74,5.19,6.7,45.2,0,0,99.99,99.99,11.5,18.06,0,0,0,"""2023-05-02T23:46:59.000Z"""
15.51,78.93,1007.14,60.32,14.37,81.3,1006.74,5.19,6.7,45.1,0,0,99.99,99.99,11.44,18.06,0,0,0,"""2023-05-02T23:52:00.000Z"""
15.5,78.94,1007.1,59.41,14.36,81.47,1006.73,5.18,6.7,45.3,0,0,99.99,99.99,11.5,18,0,0,0,"""2023-05-02T23:57:00.000Z"""
15.49,78.96,1007.14,59.67,14.34,81.74,1006.76,5.16,6.7,45.3,0,0,99.99,99.99,11.44,18,0,0,0,"""2023-05-03T00:02:00.000Z"""
15.52,79.12,1007.12,58.29,14.33,81.68,1006.77,5.14,6.7,45.1,0,0,99.99,99.99,11.38,18,0,0,0,"""2023-05-03T00:07:01.000Z"""
15.52,79.02,1007.11,58.58,14.34,81.73,1006.75,5.12,6.7,45.2,0,0,99.99,99.99,11.44,17.94,0,0,0,"""2023-05-03T00:12:01.000Z"""
15.54,78.84,1007.07,60.93,14.28,81.8,1006.71,5.11,6.6,45.1,0,0,99.99,99.99,11.44,17.94,0,0,0,"""2023-05-03T00:17:01.000Z"""
15.49,78.7,1007.06,61.29,14.26,81.76,1006.69,5.13,6.6,45.3,0,0,99.99,99.99,11.31,17.94,0,0,0,"""2023-05-03T00:22:02.000Z"""
15.42,78.86,1007.03,62.16,14.19,81.75,1006.66,5.13,6.6,45.3,0,0,99.99,99.99,11.44,17.87,0,0,0,"""2023-05-03T00:27:02.000Z"""
15.43,78.46,1007.05,62.77,14.14,81.72,1006.68,5.12,6.6,45.3,0,0,99.99,99.99,11.38,17.87,0,0,0,"""2023-05-03T00:32:02.000Z"""
15.4,78.68,1007.07,63.63,14.1,81.73,1006.68,5.14,6.5,45.4,0,0,99.99,99.99,11.31,17.87,0,0,0,"""2023-05-03T00:37:03.000Z"""
15.33,78.7,1007.07,63.48,14.05,81.86,1006.71,5.16,6.5,45.4,0,0,99.99,99.99,11.25,17.87,0,0,0,"""2023-05-03T00:42:03.000Z"""
15.32,78.7,1007.06,62.81,14.03,81.92,1006.67,5.14,6.5,45.4,0,0,99.99,99.99,11.25,17.81,0,0,0,"""2023-05-03T00:47:06.000Z"""
15.27,78.8,1007.05,62.77,13.97,81.96,1006.68,5.15,6.5,45.4,0,0,99.99,99.99,11.25,17.81,0,0,0,"""2023-05-03T00:52:06.000Z"""
15.19,79.11,1007.06,61.88,14,81.93,1006.7,5.14,6.5,45.5,0,0,99.99,99.99,11.25,17.81,0,0,0,"""2023-05-03T00:57:06.000Z"""
15.18,79.17,1007.05,61.93,13.96,81.93,1006.73,5.15,6.5,45.4,0,0,99.99,99.99,11.25,17.75,0,0,0,"""2023-05-03T01:02:07.000Z"""
15.13,79.17,1007.01,62.67,13.9,81.94,1006.67,5.16,6.5,45.4,0,0,99.99,99.99,11.25,17.69,0,0,0,"""2023-05-03T01:07:07.000Z"""
15.11,79.1,1006.97,63.1,13.86,82.12,1006.63,5.16,6.5,45.4,0,0,99.99,99.99,11.19,17.69,0,0,0,"""2023-05-03T01:12:07.000Z"""
15.05,79.43,1006.99,63.15,13.87,82.01,1006.63,5.16,6.5,45.4,0,0,99.99,99.99,11.19,17.62,0,0,0,"""2023-05-03T01:17:08.000Z"""
15.01,79.38,1007.01,63.44,13.8,82.14,1006.62,5.17,6.4,45.2,0,0,99.99,99.99,11.12,17.62,0,0,0,"""2023-05-03T01:22:08.000Z"""
14.97,79.38,1006.97,63.92,13.72,82.18,1006.6,5.16,6.4,45.3,0,0,99.99,99.99,11.12,17.62,0,0,0,"""2023-05-03T01:27:09.000Z"""
15.01,78.79,1006.93,65.27,13.68,82.16,1006.56,5.19,6.3,45.4,0,0,99.99,99.99,11.12,17.56,0,0,0,"""2023-05-03T01:32:09.000Z"""
14.93,79.04,1006.95,65.58,13.62,82.19,1006.57,5.2,6.3,45.6,0,0,99.99,99.99,11.06,17.56,0,0,0,"""2023-05-03T01:37:09.000Z"""
14.96,78.72,1006.95,66.36,13.58,82.31,1006.6,5.2,6.3,45.6,0,0,99.99,99.99,11,17.56,0,0,0,"""2023-05-03T01:42:10.000Z"""
14.92,78.79,1006.92,66.15,13.56,82.29,1006.58,5.2,6.3,45.6,0,0,99.99,99.99,11,17.5,0,0,0,"""2023-05-03T01:47:10.000Z"""
14.94,78.66,1006.92,66.57,13.55,82.25,1006.57,5.22,6.3,45.6,0,0,99.99,99.99,11,17.44,0,0,0,"""2023-05-03T01:52:10.000Z"""
14.83,79.02,1006.89,66.68,13.5,82.33,1006.55,5.23,6.3,45.6,0,0,99.99,99.99,10.94,17.5,0,0,0,"""2023-05-03T01:57:11.000Z"""
14.79,79.01,1006.86,66.63,13.52,82.1,1006.54,5.22,6.3,45.7,0,0,99.99,99.99,11,17.44,0,0,0,"""2023-05-03T02:02:11.000Z"""
14.78,78.87,1006.84,67,13.45,82.27,1006.5,5.24,6.3,45.6,0,0,99.99,99.99,10.94,17.44,0,0,0,"""2023-05-03T02:07:11.000Z"""
14.76,78.82,1006.82,67.54,13.4,82.4,1006.48,5.24,6.2,45.7,0,0,99.99,99.99,10.88,17.37,0,0,0,"""2023-05-03T02:12:12.000Z"""
14.73,78.7,1006.79,67.22,13.34,82.29,1006.43,5.26,6.2,45.8,0,0,99.99,99.99,10.81,17.37,0,0,0,"""2023-05-03T02:17:12.000Z"""
14.63,78.96,1006.8,67.54,13.31,82.35,1006.46,5.26,6.2,45.8,0,0,99.99,99.99,10.88,17.37,0,0,0,"""2023-05-03T02:22:12.000Z"""
14.58,78.75,1006.78,68.15,13.23,82.42,1006.44,5.27,6.1,45.7,0,0,99.99,99.99,10.75,17.31,0,0,0,"""2023-05-03T02:27:13.000Z"""
14.46,79.23,1006.77,67.93,13.17,82.39,1006.45,5.28,6.1,45.8,0,0,99.99,99.99,10.75,17.31,0,0,0,"""2023-05-03T02:32:13.000Z"""
14.42,79.08,1006.8,67.6,13.09,82.52,1006.48,5.29,6.1,45.7,0,0,99.99,99.99,10.75,17.31,0,0,0,"""2023-05-03T02:37:13.000Z"""
14.36,79.36,1006.79,67.65,13.07,82.53,1006.47,5.3,6.1,45.8,0,0,99.99,99.99,10.69,17.25,0,0,0,"""2023-05-03T02:42:16.000Z"""
14.3,79.35,1006.77,67.38,13.11,82.39,1006.45,5.3,6.1,45.8,0,0,99.99,99.99,10.63,17.25,0,0,0,"""2023-05-03T02:47:16.000Z"""
14.3,79.6,1006.77,65.63,13.06,82.31,1006.45,5.3,6.1,45.7,0,0,99.99,99.99,10.56,17.19,0,0,0,"""2023-05-03T02:52:16.000Z"""
14.28,79.66,1006.83,65.27,13.03,82.32,1006.52,5.32,6.1,45.6,0,0,99.99,99.99,10.56,17.19,0,0,0,"""2023-05-03T02:57:17.000Z"""
14.31,79.5,1006.87,65.27,12.98,82.43,1006.54,5.32,6,45.4,0,0,99.99,99.99,10.56,17.19,0,0,0,"""2023-05-03T03:02:17.000Z"""
14.22,79.73,1006.85,65.63,12.98,82.4,1006.54,5.32,6,45.5,0,0,99.99,99.99,10.56,17.12,0,0,0,"""2023-05-03T03:07:17.000Z"""
14.14,80.06,1006.86,64.92,12.92,82.62,1006.54,5.34,6,45.4,0,0,99.99,99,10.56,17.12,0,0,0,"""2023-05-03T03:12:17.000Z"""
14.13,80.19,1006.84,64.97,12.89,82.72,1006.55,5.32,6.1,45.2,0,0,99.99,99.99,10.5,17.12,2,0,0,"""2023-05-03T03:17:18.000Z"""
14.16,80.01,1006.88,64.71,12.92,82.79,1006.58,5.32,6.2,45.2,0,0,99.99,99.99,10.56,17.12,4,0,0,"""2023-05-03T03:22:18.000Z"""
14.19,79.99,1006.92,64.97,12.96,82.61,1006.61,5.32,6.2,45.2,0,0,99.99,99.99,10.56,17.06,8,0,0,"""2023-05-03T03:27:18.000Z"""
14.21,79.84,1006.91,64.97,12.93,82.62,1006.59,5.33,6.2,45.2,0,0,99.99,99.99,10.5,17.06,12,0,0,"""2023-05-03T03:32:18.000Z"""
14.24,79.64,1006.94,65.58,12.94,82.5,1006.63,5.34,6.2,45.2,0,0,99.99,99,10.5,17,17,0,0,"""2023-05-03T03:37:18.000Z"""
14.26,79.54,1006.96,65.68,12.93,82.4,1006.63,5.34,6.2,45.2,0,0,99.99,99.99,10.5,16.94,23,0,0,"""2023-05-03T03:42:18.000Z"""
14.26,79.52,1006.97,65.79,12.98,82.48,1006.67,5.36,6.3,45.2,0,0,99.99,99,10.5,17,30,0,0,"""2023-05-03T03:47:18.000Z"""
14.33,79.26,1007,65.94,13.04,82.41,1006.71,5.36,6.3,45.2,0,0,99.99,99.99,10.5,17,35,0,0,"""2023-05-03T03:52:19.000Z"""
14.43,79.12,1007.05,66.36,13.15,82.36,1006.78,5.4,6.3,45.2,0,0,99.99,99.99,10.56,16.94,40,0,0,"""2023-05-03T03:57:19.000Z"""
14.5,78.83,1007.09,66.63,13.21,82.17,1006.81,5.4,6.4,45.2,0,0,99.99,99.99,10.56,16.94,43,0,0,"""2023-05-03T04:02:19.000Z"""
14.58,78.63,1007.12,66.79,13.28,81.98,1006.82,5.41,6.5,45.2,0,0,99.99,99.99,10.56,16.94,43,0,0,"""2023-05-03T04:07:20.000Z"""
14.65,78.48,1007.14,67.27,13.33,81.84,1006.84,5.43,6.5,45.2,0,0,99.99,99.99,10.63,16.87,42,0,0,"""2023-05-03T04:12:20.000Z"""
14.67,78.6,1007.18,67.27,13.36,81.91,1006.88,5.45,6.5,45.2,0,0,99.99,99.99,10.63,16.87,47,0,0,"""2023-05-03T04:17:20.000Z"""
14.81,77.96,1007.24,68.04,13.46,81.79,1006.94,5.46,6.5,45.2,0,0,99.99,99.99,10.56,16.81,50,0,0,"""2023-05-03T04:22:21.000Z"""
14.98,77.42,1007.35,69,13.66,81.27,1007.07,5.51,6.6,45.2,0,0,99.99,99.99,10.69,16.81,55,0,0,"""2023-05-03T04:32:21.000Z"""
15.11,77.03,1007.38,69.8,13.77,81.02,1007.09,5.53,6.7,45.2,0,0,99.99,99,10.69,16.81,56,0,0,"""2023-05-03T04:37:22.000Z"""
15.14,77.39,1007.4,69.34,13.81,80.83,1007.11,5.55,6.8,45.2,0,0,99.99,99,10.69,16.81,54,0,0,"""2023-05-03T04:42:22.000Z"""
15.13,77.23,1007.45,69.28,13.86,80.49,1007.16,5.59,6.8,45.2,0,0,99.99,99.99,10.69,16.75,52,0,0,"""2023-05-03T04:47:23.000Z"""
15.14,77.43,1007.48,68.94,13.86,80.51,1007.19,5.62,6.8,45.2,0,0,99.99,99.99,10.69,16.75,53,0,0,"""2023-05-03T04:52:23.000Z"""
15.13,77.41,1007.55,69.57,13.85,80.41,1007.26,5.66,6.8,45.2,0,0,99.99,99,10.69,16.75,47,0,0,"""2023-05-03T04:57:23.000Z"""
15.13,77.32,1007.6,69.57,13.86,80.34,1007.3,5.67,6.8,45.2,0,0,99.99,99.99,10.63,16.69,46,0,0,"""2023-05-03T05:02:26.000Z"""
15.18,77.18,1007.64,69.69,13.93,80.38,1007.34,5.69,6.8,45.2,0,0,99.99,99.99,10.69,16.69,48,0,0,"""2023-05-03T05:07:26.000Z"""
15.18,77.23,1007.65,69,14.01,80.11,1007.37,5.71,6.8,45.2,0,0,99.99,99.99,10.69,16.69,48,0,0,"""2023-05-03T05:12:26.000Z"""
15.28,76.85,1007.63,69.11,14.04,80.24,1007.34,5.74,6.9,45.2,0,0,99.99,99.99,10.69,16.69,50,0,0,"""2023-05-03T05:17:26.000Z"""
15.34,76.89,1007.65,68.82,14.12,79.95,1007.36,5.74,6.9,45.2,0,0,99.99,99.99,10.75,16.69,52,0,0,"""2023-05-03T05:22:26.000Z"""
15.49,76.72,1007.69,70.45,14.13,79.91,1007.39,5.78,6.9,45.2,0,0,99.99,99.99,10.69,16.62,57,0,0,"""2023-05-03T05:27:27.000Z"""
15.62,75.82,1007.74,72.85,14.31,79.55,1007.43,5.82,7,45.2,0,0,99.99,99.99,10.69,16.62,57,0,0,"""2023-05-03T05:32:28.000Z"""
15.62,75.96,1007.76,72.85,14.31,79.46,1007.46,5.87,7,45.2,0,0,99.99,99.99,10.69,16.62,55,0,0,"""2023-05-03T05:37:28.000Z"""
15.71,75.68,1007.79,74.21,14.34,79.39,1007.49,5.93,7.1,45.2,0,0,99.99,99.99,10.69,16.62,61,0,0,"""2023-05-03T05:42:29.000Z"""
15.93,75.25,1007.89,74.08,14.61,78.73,1007.6,5.9,7.2,45.2,0,0,99.99,99.99,10.69,16.62,66,0,0,"""2023-05-03T05:47:29.000Z"""
16.39,73.69,1007.94,75.15,14.84,78.34,1007.69,5.97,7.3,45.2,0,0,99.99,99.99,10.75,16.62,68,0,0,"""2023-05-03T05:52:29.000Z"""
16.6,73.51,1007.95,73.88,15.07,78.05,1007.73,6.01,7.5,45.2,0,0,99.99,99.99,10.69,16.56,69,0,0,"""2023-05-03T05:57:30.000Z"""
16.74,73.32,1008,74.74,15.23,77.42,1007.78,6.07,7.6,45.2,0,0,99.99,99.99,10.75,16.56,68,0,0,"""2023-05-03T06:02:30.000Z"""
16.9,72.63,1008.04,75.69,15.35,77.3,1007.83,6.13,7.7,45.2,0,0,99.99,99.99,10.75,16.56,69,0,0,"""2023-05-03T06:07:30.000Z"""
17.1,72.41,1008.09,75.35,15.54,76.69,1007.87,6.24,7.9,45.2,0,0,99.99,99.99,10.75,16.56,70,0,0,"""2023-05-03T06:12:31.000Z"""
17.17,71.9,1008.11,74.68,15.65,76.18,1007.91,6.31,7.9,45.2,0,0,99.99,99.99,10.81,16.56,68,0,0,"""2023-05-03T06:17:31.000Z"""
17.17,71.73,1008.16,77.23,15.56,76.44,1007.92,6.36,7.9,45.2,0,0,99.99,99.99,10.88,16.56,66,0,0,"""2023-05-03T06:22:31.000Z"""
17.18,71.71,1008.21,77.67,15.56,76.43,1007.97,6.41,7.9,45.2,0,0,99.99,99.99,10.88,16.56,68,0,0,"""2023-05-03T06:27:32.000Z"""
17.53,70.79,1008.28,77.59,15.85,75.78,1008.06,6.47,7.9,45.2,0,0,99.99,99.99,10.88,16.56,74,0,0,"""2023-05-03T06:32:32.000Z"""
18.29,68.85,1008.3,77.96,16.5,74.16,1008.12,6.59,8.4,38.2,0,0,99.99,99.99,10.88,16.56,77,0,0,"""2023-05-03T06:37:32.000Z"""
19.06,67.03,1008.34,78.32,17.11,72.44,1008.21,6.77,8.7,37.2,0,0,99.99,99.99,10.94,16.56,78,0,0,"""2023-05-03T06:42:33.000Z"""
19.41,65.9,1008.42,80.59,17.53,71.25,1008.3,6.97,9,36,0,0,99.99,99.99,11,16.62,78,0,0,"""2023-05-03T06:47:33.000Z"""
19.75,64.84,1008.47,81.14,17.85,70.19,1008.33,7.19,9.1,35.7,0,0,99.99,99.99,11,16.56,78,0,0,"""2023-05-03T06:52:33.000Z"""
20.02,64.14,1008.52,83.66,18.09,69.78,1008.37,7.36,9.2,35,0,0,99.99,99.99,11.06,16.56,78,0,0,"""2023-05-03T06:57:36.000Z"""
20.17,63.45,1008.54,83.16,18.3,68.51,1008.38,7.53,9.4,34.4,0,0,99.99,99.99,11.06,16.56,79,0,0,"""2023-05-03T07:02:36.000Z"""
20.69,62.28,1008.54,82.5,18.75,67.59,1008.43,7.81,9.6,33.6,0,0,99.99,99.99,11.06,16.62,81,0,0,"""2023-05-03T07:07:36.000Z"""
21.58,60.53,1008.56,80.75,19.56,65.97,1008.53,8.02,10,32.9,0,0,99.99,99,11.12,16.56,82,0,0,"""2023-05-03T07:12:36.000Z"""
22.3,58.5,1008.63,81.46,20.24,64.22,1008.6,8.29,10.3,31.6,0,0,99.99,99.99,11.19,16.62,82,0,0,"""2023-05-03T07:17:36.000Z"""
22.92,57.18,1008.66,81.14,20.7,63.46,1008.64,8.49,10.3,31.1,0,0,99.99,99,11.19,16.69,83,0,0,"""2023-05-03T07:22:36.000Z"""
23.23,56.54,1008.64,77.67,21,62.96,1008.59,8.68,10.8,30.5,0,0,99.99,99.99,11.31,16.62,83,0,0,"""2023-05-03T07:27:36.000Z"""
23.58,55.61,1008.68,78.32,21.43,61.18,1008.67,8.89,10.9,29.7,0,0,99.99,99.99,11.31,16.69,84,0,0,"""2023-05-03T07:32:36.000Z"""
24.29,53.87,1008.69,82.02,22.07,60.22,1008.7,9.16,11.3,28.8,0,0,99.99,98,11.38,16.75,84,0,0,"""2023-05-03T07:37:37.000Z"""
24.94,52.31,1008.68,80.05,22.54,58.82,1008.69,9.4,11.6,28.2,0,0,99.99,99.99,11.38,16.75,84,0,0,"""2023-05-03T07:42:37.000Z"""
24.88,52.5,1008.7,77.67,22.48,58.87,1008.66,9.57,11.6,28,0,0,99.99,99.99,11.44,16.81,83,0,0,"""2023-05-03T07:47:37.000Z"""
25.44,51.22,1008.69,76.53,23,58.24,1008.71,9.72,11.7,27.8,0,0,99.99,99.99,11.56,16.81,84,0,0,"""2023-05-03T07:52:37.000Z"""
25.85,49.93,1008.71,79.14,23.28,57.07,1008.66,9.96,12,27.1,0,0,99.99,99.99,11.56,16.87,84,0,0,"""2023-05-03T07:57:37.000Z"""
26.07,49.61,1008.69,78.54,23.72,55.75,1008.71,10.25,12.2,26.7,0,0,99.99,99.99,11.56,16.94,85,0,0,"""2023-05-03T08:02:37.000Z"""
26.71,48.34,1008.71,79.67,24.24,55.36,1008.73,10.47,12.4,26.4,0,0,99.99,99.99,11.69,16.94,85,0,0,"""2023-05-03T08:07:37.000Z"""
27.31,46.98,1008.74,78.17,25,52.87,1008.84,10.78,12.6,26,0,0,99.99,99.99,11.69,17,86,0,0,"""2023-05-03T08:12:37.000Z"""
28.54,44.73,1008.79,78.32,25.87,51.63,1008.94,11.16,12.7,25.5,0,0,99.99,99.99,11.75,17,86,0,0,"""2023-05-03T08:17:37.000Z"""
29.13,43.34,1008.85,75.62,26.48,50.61,1009.03,11.45,12.7,25.5,0,0,99.99,99.99,11.88,17.12,86,0,0,"""2023-05-03T08:22:37.000Z"""
29.63,42.51,1008.86,75.21,26.65,49.91,1009.01,11.73,12.7,25.5,0,0,99.99,99.99,11.94,17.12,86,0,0,"""2023-05-03T08:27:38.000Z"""
29.75,41.58,1008.87,81.69,26.61,49.63,1009.05,11.97,12.7,25.5,0,0,99.99,99.99,12,17.19,86,0,0,"""2023-05-03T08:32:38.000Z"""
30.23,40.75,1008.91,81.38,27.24,48.2,1009.08,12.35,12.7,25.5,0,0,99.99,99.99,12.06,17.25,86,0,0,"""2023-05-03T08:37:38.000Z"""
30.75,40.04,1008.98,75.62,28.09,46.2,1009.22,12.69,12.7,25.5,0,0,99.99,96,12.19,17.31,87,0,0,"""2023-05-03T08:42:39.000Z"""
31.65,38.47,1008.99,75.49,28.88,45.18,1009.19,13.14,12.7,25.5,0,0,99.99,99,12.25,17.37,86,0,0,"""2023-05-03T08:47:39.000Z"""
33.09,36.46,1008.99,71.23,30.82,41.05,1009.6,13.63,12.7,25.5,0,0,99.99,96,12.31,17.44,90,0,0,"""2023-05-03T08:52:39.000Z"""
35.64,29.02,1008.97,126.42,30.22,37.81,1009.98,14.52,12.7,25.5,0,0,99.99,99.99,12.56,17.5,91,0,0,"""2023-05-03T08:57:40.000Z"""
37.22,27.18,1009,130.57,29.77,39.6,1009.33,15.09,12.7,25.5,0,0,99.99,99.99,12.75,17.62,87,0,0,"""2023-05-03T09:02:40.000Z"""
37.96,25.55,1009,136.22,30.44,38.43,1010.09,15.73,12.7,25.5,0,0,99.99,95,13.13,17.62,91,0,0,"""2023-05-03T09:07:40.000Z"""
40.23,23.58,1008.96,141.78,32.76,35.2,1010.14,16.53,12.7,25.5,0,0,99.99,96,11.56,17.75,91,0,0,"""2023-05-03T09:12:41.000Z"""
38.85,24.57,1008.93,137.46,32,36.19,1009.75,17.11,12.7,25.5,0,0,99.99,99.99,11.5,17.81,90,0,0,"""2023-05-03T09:17:41.000Z"""
39.92,23.18,1008.88,143.12,34.03,32.89,1009.72,17.81,12.7,25.5,0,0,99.99,97,11.69,18,90,0,0,"""2023-05-03T09:22:41.000Z"""
41.52,23.18,1008.9,132.34,35.76,30.69,1009.96,18.3,12.7,25.5,0,0,99.99,93,12.5,18,90,0,0,"""2023-05-03T09:27:42.000Z"""
38.49,23.88,1008.78,154.51,29.26,38.63,1009.12,18.77,0,0,0,0,99.99,99.99,12.63,19.31,89,0,0,"""2023-05-03T09:32:42.000Z"""
35.83,26.27,1008.76,155.09,28.89,38.59,1008.98,19,0,0,0,0,99.99,99.99,12.56,19.37,88,0,0,"""2023-05-03T09:37:42.000Z"""
33.9,28.82,1008.81,148.2,27.93,41.22,1008.95,18.93,0,0,0,0,99.99,99.99,12.63,19.44,88,0,0,"""2023-05-03T09:42:43.000Z"""
33.43,29.17,1008.82,159.54,28.18,40.8,1008.97,19.24,0,0,0,0,99.99,99.99,13.13,19.5,89,0,0,"""2023-05-03T09:47:43.000Z"""
33.22,29.72,1008.81,159.84,28.2,40.64,1008.94,19.64,0,0,0,0,99.99,99.99,13.5,19.56,89,0,0,"""2023-05-03T09:52:43.000Z"""
33.25,29.31,1008.79,173.65,28.84,39.42,1008.98,20.39,0,0,0,0,99.99,99.99,13.75,19.56,90,0,0,"""2023-05-03T09:57:44.000Z"""
33.44,29.41,1008.77,174.37,29.15,39.18,1008.94,20.69,0,0,0,0,99.99,98,13.88,19.62,89,0,0,"""2023-05-03T10:02:44.000Z"""
32.99,29.96,1008.75,172.39,28.55,39.82,1008.87,21.03,0,0,0,0,99.99,99.99,14.06,19.62,89,0,0,"""2023-05-03T10:07:44.000Z"""
32.35,30.67,1008.75,171.51,27.41,41.36,1008.8,21.09,0,0,0,0,99.99,99.99,14.44,19.69,88,0,0,"""2023-05-03T10:12:45.000Z"""
31.88,31.45,1008.65,175.66,27.38,41.66,1008.75,21.39,0,0,0,0,99.99,99.99,14.13,19.75,88,0,0,"""2023-05-03T10:17:46.000Z"""
31.82,31.23,1008.66,171.68,26.46,43.04,1008.73,21.5,0,0,0,0,99.99,99.99,13.81,19.81,88,0,0,"""2023-05-03T10:22:46.000Z"""
31.23,31.65,1008.73,183.58,25.72,43.84,1008.7,21.68,0,0,0,0,99.99,99.99,14,19.81,87,0,0,"""2023-05-03T10:27:46.000Z"""
30.94,32.53,1008.71,178.09,25.59,44.72,1008.72,21.77,0,0,0,0,99.99,99.99,14,19.81,88,0,0,"""2023-05-03T10:32:46.000Z"""
31.36,31.65,1008.61,186.04,26.12,43.68,1008.61,22.14,0,0,0,0,99.99,99.99,14.06,19.81,88,0,0,"""2023-05-03T10:37:46.000Z"""
31.54,31.87,1008.56,177.15,27.61,41.89,1008.6,22.45,0,0,0,0,99.99,99.99,14.06,19.87,88,1,0,"""2023-05-03T10:42:47.000Z"""
31.53,31.88,1008.51,176.21,27.49,41.44,1008.48,22.82,0,0,0,0,99.99,99.99,14.19,19.87,88,1,0,"""2023-05-03T10:47:47.000Z"""
31.32,31.66,1008.5,178.48,27.2,41.47,1008.46,23,0,0,0,0,99.99,99.99,14.19,19.87,88,1,0,"""2023-05-03T10:52:49.000Z"""
31.35,32.85,1008.55,159.38,27.54,42.23,1008.51,23.15,0,0,0,0,99.99,99.99,14.31,19.94,88,1,0,"""2023-05-03T10:57:49.000Z"""
30.98,32.99,1008.59,163.76,27.37,42.41,1008.52,23.28,0,0,0,0,99.99,99,14.44,19.94,88,1,0,"""2023-05-03T11:02:49.000Z"""
